,cash,mv,nav
2019-10-03,847890.2264104367,472728.35646778514,1320618.5828782218
2019-10-04,847890.2264104367,475985.33651146514,1323875.5629219017
2019-10-07,848695.3795941542,473683.657839881,1322379.0374340352
2019-10-08,848695.3795941542,476939.5226812361,1325634.9022753902
2019-10-09,848695.3795941542,477369.912074911,1326065.2916690651
2019-10-10,848695.3795941542,473931.1278773525,1322626.5074715067
2019-10-11,848695.3795941542,466680.97019279044,1315376.3497869447
2019-10-14,848695.3795941542,468564.59552824363,1317259.9751223978
2019-10-15,848695.3795941542,464874.4829417513,1313569.8625359056
2019-10-16,848695.3795941542,465094.8339170684,1313790.2135112225
2019-10-17,848695.3795941542,464834.1086116783,1313529.4882058324
2019-10-18,848695.3795941542,466142.4457835646,1314837.8253777188
2019-10-21,848695.3795941542,462899.3336916902,1311594.7132858443
2019-10-22,848982.0168053287,457947.1461712229,1306929.1629765516
2019-10-23,848982.0168053287,456238.7819145587,1305220.7987198874
2019-10-24,848982.0168053287,460387.6595945189,1309369.6763998475
2019-10-25,848982.0168053287,456837.02539152687,1305819.0421968554
2019-10-28,848982.0168053287,454609.0383977249,1303591.0552030536
2019-10-29,848982.0168053287,454987.03397818544,1303969.050783514
2019-10-30,848989.3206834195,460403.67752633564,1309392.9982097552
2019-10-31,605276.130742614,704116.867467142,1309392.9982097559
2019-11-01,606073.7138980262,702068.2400969547,1308141.953994981
2019-11-04,606073.7138980262,694342.8587898207,1300416.5726878468
2019-11-05,606073.7138980262,689770.2585727465,1295843.9724707727
2019-11-06,606073.7138980262,694267.7146726116,1300341.4285706377
2019-11-07,606073.7138980262,689454.3492336,1295528.0631316262
2019-11-08,605981.0975609241,689448.5443646673,1295429.6419255915
2019-11-11,605705.6926852667,691790.2374743653,1297495.9301596321
2019-11-12,605705.6926852667,694201.3284589793,1299907.021144246
2019-11-13,605993.7373111084,697607.2950686663,1303601.0323797748
2019-11-14,605376.4158267374,701384.7982400752,1306761.2140668128
2019-11-15,605344.8745999599,702018.411610689,1307363.286210649
2019-11-18,605344.8745999599,706640.6241370273,1311985.4987369874
2019-11-19,605344.8745999599,708781.6366752461,1314126.511275206
2019-11-20,605344.8745999599,707698.8778717114,1313043.7524716714
2019-11-21,606382.3413210053,701886.343148123,1308268.6844691283
2019-11-22,606382.3413210053,700511.0239212664,1306893.3652422717
2019-11-25,606382.3413210053,702452.903466573,1308835.2447875782
2019-11-26,606382.3413210053,707769.1685127234,1314151.5098337287
2019-11-27,606382.3413210053,707353.6913678193,1313736.0326888245
2019-11-29,606382.3413210053,706049.4812009423,1312431.8225219476
2019-12-02,606382.3413210053,699584.5951575164,1305966.9364785217
2019-12-03,606382.3413210053,701349.9050276479,1307732.246348653
2019-12-04,606382.3413210053,701818.7645724397,1308201.105893445
2019-12-05,604708.5232990194,705804.2147529011,1310512.7380519207
2019-12-06,604708.5232990194,704772.0198809408,1309480.5431799602
2019-12-09,606041.3901934074,701325.9431782872,1307367.3333716947
2019-12-10,606041.3901934074,701338.9075511077,1307380.2977445151
2019-12-11,606041.3901934074,704138.5613482639,1310179.9515416713
2019-12-12,606041.3901934074,701885.5561992637,1307926.9463926712
2019-12-13,606041.3901934074,705687.7198642289,1311729.1100576362
2019-12-16,606041.3901934074,706704.8287004224,1312746.2188938297
2019-12-17,606041.3901934074,704542.9192318794,1310584.309425287
2019-12-18,606041.3901934074,704447.886513989,1310489.2767073964
2019-12-19,606041.3901934074,705144.3387864924,1311185.7289798998
2019-12-20,606041.3901934074,707772.4363439443,1313813.8265373516
2019-12-23,605549.3633723749,704595.3420200202,1310144.7053923951
2019-12-24,605549.3633723749,705863.835761974,1311413.199134349
2019-12-26,605549.3633723749,707033.5205759443,1312582.8839483191
2019-12-27,605549.3633723749,708857.9666079807,1314407.3299803557
2019-12-30,605182.7880807272,707297.3269780269,1312480.115058754
2019-12-31,450371.36735064106,862108.7477081126,1312480.1150587536
2020-01-02,449802.17293962755,865021.5043588147,1314823.6772984422
2020-01-03,449802.17293962755,860987.6624488212,1310789.8353884488
2020-01-06,450950.63266660634,858084.3393194634,1309034.9719860698
2020-01-07,450950.63266660634,857446.4631283346,1308397.0957949408
2020-01-08,450950.63266660634,859981.1187515182,1310931.7514181244
2020-01-09,450950.63266660634,862764.3807845013,1313715.0134511078
2020-01-10,450329.7191277496,863425.2744089416,1313754.9935366912
2020-01-13,450224.38723908353,866875.7384893458,1317100.1257284293
2020-01-14,450224.38723908353,865887.3039313855,1316111.691170469
2020-01-15,449718.1764143681,868260.4650474541,1317978.6414618222
