,cash,mv,nav
2014-12-03,37321.91311463855,1043201.1157789754,1080523.028893614
2014-12-04,37321.91311463855,1039203.0552463892,1076524.9683610278
2014-12-05,37321.91311463855,1039371.2366586296,1076693.1497732683
2014-12-08,37633.72715438348,1030141.397638484,1067775.1247928676
2014-12-09,37633.72715438348,1034035.3522094388,1071669.0793638222
2014-12-10,37633.72715438348,1021496.8623906497,1059130.5895450332
2014-12-11,37633.72715438348,1024429.5298694388,1062063.2570238223
2014-12-12,37633.72715438348,1014697.1507057307,1052330.8778601142
2014-12-15,38510.074965247055,1004730.5837714131,1043240.6587366601
2014-12-16,39644.0283004104,1001981.2746477562,1041625.3029481666
2014-12-17,39529.20570229288,1016629.5673566783,1056158.7730589712
2014-12-18,39529.20570229288,1030282.6934205274,1069811.8991228202
2014-12-19,39529.20570229288,1035063.6978359788,1074592.9035382718
2014-12-22,39546.69556825879,1034872.6959916082,1074419.391559867
2014-12-23,39546.69556825879,1036116.9249648226,1075663.6205330815
2014-12-24,39546.69556825879,1036559.5084365471,1076106.204004806
2014-12-26,39546.69556825879,1040059.09198265,1079605.7875509087
2014-12-29,39546.69556825879,1040545.5104593158,1080092.2060275746
2014-12-30,39546.69556825879,1038131.5687599113,1077678.26432817
2014-12-31,29847.00490433621,1047831.259423832,1077678.2643281682
2015-01-02,30998.643752988235,1049549.6472555897,1080548.291008578
2015-01-05,30998.643752988235,1035124.6243230934,1066123.2680760818
2015-01-06,30998.643752988235,1029193.7495809199,1060192.3933339082
2015-01-07,30998.643752988235,1037060.9556013992,1068059.5993543875
2015-01-08,31069.881531842213,1047002.2797809857,1078072.1613128278
2015-01-09,31069.881531842213,1042394.9809030279,1073464.86243487
2015-01-12,31069.881531842213,1039118.271067646,1070188.1525994882
2015-01-13,31191.103262104018,1035276.672130144,1066467.775392248
2015-01-14,31191.103262104018,1032713.296150795,1063904.399412899
2015-01-15,31191.103262104018,1027278.5717220869,1058469.6749841908
2015-01-16,31191.103262104018,1037943.9557571043,1069135.0590192084
